name,contry_origin,domain,price_category,founded,presence_world,presence_russia,presence_regions,description,plans,total_rented_area
Остров,Россия,Развлечения,Средний,2005.0,,4,Москва,"Сеть семейных развлекательных центров «Остров» работает в Москве с 2005 года. Мы находимся в торговых центрах, где взрослые смогут сделать нужные покупки, сходить в кино или отдохнуть, пока дети вместе веселятся и развлекаются. Мы предлагаем интересный и веселый семейный отдых: аттракционы активного отдыха для детей и взрослых залы игровых автоматов для всех возрастов организацию и проведение детских праздников с анимацией и шоу-программами кафе с детским и взрослым меню на любой вкус Наши развлекательные центры – прекрасное место для проведения детского Дня рождения и других праздников. Все дети любят активный отдых, а здесь у них будет возможность повеселиться и получить яркие впечатления, которые запомнятся надолго. «Остров» – это развлекательные центры в Москве, где каждая семья сможет насладиться совместным отдыхом или отметить праздник так, чтобы о нем остались самые приятные воспоминания. У нас вы сможете не только отдохнуть и повеселиться, но и посетить кафе всей семьей.",2.0,
ОТДОХНИ,Россия,Вино и алкогольные напитки,Средний,2003.0,,193,Москва; Дзержинск; Кстово; Нижний Новгород,"Отдохни - это новый формат винных магазинов, включающий более 190 магазинов в Москве, Московской области, Нижнем Новгороде, Дзержинске и Кстове.",,
Открытая клиника,Россия,"Здоровье, лечение, профилактика",Средний; Выше среднего,2014.0,5,5 и 1 франчайзинговых,Москва,"""Открытая клиника"" — сеть московских клиник, которая объединяет под одной крышей лучших врачей, современное оборудование и высочайший уровень сервиса.Основной принцип работы каждого центра сети - максимальная открытость в действиях как медицинской помощи, так и ценообразования. На сегодняшний день в холдинг ""Открытая клиника"" входят 5 центров. В 2017 году открыт центр по программе франчайзинга.",,
Открытие,Россия,"Банк, кредит, заем",Средний,1993.0,,470,Москва; Санкт-Петербург; Архангельск; Балаково; Барнаул; Березники; Великий Новгород; Воронеж; Екатеринбург; Иркутск; Йошкар-Ола; Казань; Калининград; Каменск-Уральский; Камышин; Кисловодск; Краснодар; Красноярск; Липецк; Магнитогорск; Миасс; Мурманск; Нальчик; Нижневартовск; Нижний Новгород; Нижний Тагил; Новомосковск; Новороссийск; Новосибирск; Омск; Оренбург; Пенза; Первоуральск; Пермь; Псков; Ростов-на-Дону; Самара; Саратов; Сургут; Таганрог; Тверь; Тула; Тюмень; Ульяновск; Уфа; Челябинск; Энгельс; Ярославль,"Банк «Открытие» — крупнейший частный банк в России и четвертый по размеру активов среди всех российских банковских групп1. Работает на финансовом рынке с 1993 года. Активы банка и его дочерних компаний по МСФО на 30 июня 2016 года составили 3 087,8 млрд рублей, капитал — 217,8 млрд рублей. «Открытие» — универсальный коммерческий банк с устойчивой диверсифицированной структурой бизнеса и качественным управлением капиталом. Банк развивает следующие ключевые направления бизнеса: корпоративный, инвестиционный, розничный, МСБ и Private Banking. Особое внимание «Открытие» уделяет высокотехнологичным сервисам: в рамках проекта «Рокетбанк» предлагается полностью дистанционный сервис для физических лиц, в рамках проекта «Точка» — полностью дистанционное обслуживание для предпринимателей. Банк «Открытие» был сформирован в результате интеграции более чем 10 банков различного масштаба, в том числе таких крупных федеральных, как НОМОС-БАНК, Ханты-Мансийский банк и банк «Петрокоммерц». Банк «Открытие» входит в список десяти системообразующих кредитных организаций, утвержденный Центральным банком, а также в список крупнейших компаний мира FORBES Global 2000. Надежность банка подтверждена рейтингами международных агентств S&P Global (ВВ-) и Moody’s Investors Service (Ba3). Клиентская база объединенного банка насчитывает свыше 30 000 корпоративных клиентов, 165 000 клиентов малого бизнеса и около 3,2 млн физических лиц, в том числе премиальных клиентов. 470 отделений банка различного формата расположены в 53 экономически значимых регионах России. Значительная часть бизнеса сосредоточена в Москве, Санкт-Петербурге, Тюменской области (включая Ханты-Мансийский автономный округ, где банк работает под брендом Ханты-Мансийского банка, узнаваемость которого на данной территории исторически высока), Екатеринбурге, Новосибирской области, Хабаровском крае, Волгоградской области. Ключевым акционером банка «Открытие» является «Открытие Холдинг», который владеет 66,64% голосующих акций. Бенефициарами «Открытие Холдинг» являются: Вадим Беляев, Группа «ИФД Капиталъ», Банк «ВТБ», Группа «ИСТ», Рубен Аганбегян, Александр Мамут. Бумаги банка также находятся в свободном обращении на Московской бирже. Главой Наблюдательного совета банка «Открытие» является Дмитрий Ромаев, председателем Правления — Евгений Данкевич. Банк «Открытие» активно участвует в реализации социально значимых проектов, поддерживая такие направления, как наука (Политехнический музей), образование (Московский государственный университет им. Ломоносова, Европейский университет в Санкт-Петербурге), культура (Малый театр, сотрудничество с автором мультфильма «Ежик в тумане» Юрием Норштейном), здравоохранение (Фонд помощи хосписам «Вера»), спорт (стратегическое партнерство с ФК «Спартак-Москва», Югорский лыжный марафон).",5.0,
Открытый мир,Россия,"Туризм, путешествия",Средний,2006.0,,10,Москва; Краснодар; Нальчик; Нижний Новгород; Новороссийск; Ростов-на-Дону,"Outdoor-магазины ""Открытый Мир"" Это - сравнительно молодая, но очень динамично развивающаяся торговая сеть. Благодаря тому, что компании - владетельнице торговой сети, принадлежат эксклюзивные права на распространение продукции под такими ""флагами"", как: -Campus (Обувь, одежда, палатки, спальные мешки, рюкзаки, аксессуары - доступной ценовой категории); -Alpinus (Одежда, палатки, рюкзаки и спальные мешки - ""премиум"" категории) -Verticale (одежда, палатки, спальные мешки, рюкзаки); -Саnadian Camper (кемпинговая мебель, палатки); -Blizzard (светодиодные фонари); -Warta Poland (уникальные хлопковые кемпинговые палатки); -Treksta (треккинговая обувь с мембраной Gore-Tex), нашим покупателям предлагаются самые лучшие, самые низкие цены, что называется ""из первых рук"". Кроме этого, мы связаны договорными отношениями и с компаниями, представляющими другие не менее известные марки. В нашей торговой сети нашли свое достойное место такие бренды как: VauDe, Jack Wolfskin, Marmot, Salewa, Petzl, Charlett Moser, Camp, Ferrino, Trango, Salomon, Garmont, Raichle, Skarpa, Aku, Kovea, Camping Gaz, MSR, Tatonka, Primus, Guahoo, Снаряжение, Хоббит, СпортЭкс, Экспедиция и мн. другие. Разумеется, осуществляя оптовые закупки у сторонних компаний, мы имеем грандиознейшие скидки от объемов, а значит, и вам - нашим покупателям мы можем предложить эти товары по наиболее выгодным ценам",,
Отличные наличные,Россия,"Банк, кредит, заем",Средний,2011.0,,227,,"Компания «Отличные наличные» основана в феврале 2011 года. Основной вид деятельности – предоставление физическим лицам быстрых и краткосрочных займов без залогов и поручителей на любые цели. Компания занимает пятое место среди микрофинансовых организаций России по количеству и объему выданных займов «до зарплаты» (на основе рэнкинга МФО за 2015 год, РА «Эксперт»). Более 250 отделений в 70 городах России. В штате более 750 человек. Собственный крупный call-center работающий с клиентами в режиме 24/7, корпоративный учебный центр, профессиональная служба взыскания – говорят о масштабности работы компании. Мы заинтересованы в развитии сети офисов по выдаче займов, и приглашаем к сотрудничеству арендодателей в городах присутствия сети, а также по всей России. Более 5 лет на рынке Более 200 офисов по всей России Долгосрочное сотрудничество Гарантия надежности",15.0,
ОТП Банк ,Венгрия,"Банк, кредит, заем",Средний,1994.0,,53,Москва; Санкт-Петербург; Жуковский; Нижний Новгород; Новороссийск; Новосибирск; Омск; Самара; Саратов,"ОТП Банк - до февраля 2008 года Инвестсбербанк - был образован в 1994 году. В 2006 году банк вошел в одну из крупнейших банковских групп Европы - Группу ОТП (OTP Group). Вместе с новым динамичным брендом ОТП Банк получил доступ к финансовым возможностям и опыту европейского материнского банка, что позволило усилить развитие розничного и корпоративного бизнеса в России. ОТП Банк продолжает устойчивое и динамичное развитие, его финансовое положение укрепляется, все основные показатели, характеризующие состояние банка, стабильно растут.",,
ОфисМаг,Россия,Хобби и увлечения,Дисконт; Ниже среднего; Средний,1993.0,,36,Балаково; Балашов; Борисоглебск; Брянск; Волгоград; Волжский; Воронеж; Елец; Железногорск; Казань; Калуга; Клинцы; Курск; Липецк; Невинномысск; Нижний Новгород; Новомосковск; Обнинск; Орел; Россошь; Ростов-на-Дону; Саратов; Серпухов; Тамбов; Тула; Уфа,"ОФИСМАГ – первая в России сеть гипермаркетов для офиса, учебы и дома, где в одном месте собран широкий ассортимент товаров для офиса, учебы и творчества. Уникальный формат на российском рынке. Сеть гипермаркетов для офиса и учёбы ОФИСМАГ входит в группу компаний Самсон. ОПЫТ — компания работает в отрасли с 1993 года  ЛИДЕРСТВО — мы входим в тройку лидеров на рынке обеспечения офисов всем необходимым для их функционирования ОБЪЕМ — оборот группы компаний — более 16 млрд. руб. в год НАДЕЖНОСТЬ — компания работает более чем с 400 поставщиками МАСШТАБ — 13 оптовых складов от Москвы до Новосибирска, общая площадь складов более 100 000 м² ПРОФЕССИОНАЛИЗМ — более 3 500 квалифицированных сотрудников СБАЛАНСИРОВАННОСТЬ — более 20 000 наименований товаров РЕПУТАЦИЯ — 100 000 активных клиентов из 82 регионов России   ОФИСМАГ Ритейл - это сеть магазинов формата Cash & Carry, специализирующихся на товарах для офиса, канцелярских товарах, офисной и бытовой технике, мебели для офиса, хозтоварах, товарах для учебы и творчества по доступным ценам. На начало 2017 года сеть насчитывает 36 гипермаркетов общей торговой площадью свыше 20 тыс. м2.",10.0,21000
ОхотАктив,Россия,Хобби и увлечения,Средний; Выше среднего,1998.0,,61,Москва; Санкт-Петербург; Альметьевск; Барнаул; Воронеж; Екатеринбург; Иваново; Иркутск; Йошкар-Ола; Казань; Калуга; Ковров; Кострома; Красноярск; Курск; Липецк; Мурманск; Набережные Челны; Нижний Новгород; Новокузнецк; Новосибирск; Пенза; Петрозаводск; Рязань; Самара; Саранск; Саратов; Стерлитамак; Тверь; Тула; Тюмень; Улан-Удэ; Ульяновск; Уфа; Челябинск; Ярославль,"Компания «Шанс» была создана в 1998 году и с момента основания прошла несколько этапов своего развития. За нашими плечами многолетний опыт розничной и оптовой торговли охотничьим оружием и оборудованием для охоты и рыбалки. Более 15 лет опыта работы. 11 филиалов в крупных городах России. 50 магазинов розничной торговли в городах России. 1998 — 2002 гг. 1998 г. Открытие первого розничного магазина 1999 г. Открытие второго розничного магазина 2000 г. Создание местной оптовой компании 2002 г. Открытие третьего розничного магазина 2004 — 2007 гг. 2004 г. Открытие филиала в Москве Открытие первого магазина в Нижнем Новгороде 2006 г. Открытие филиала в Санкт-Петербурге Открытие второго магазина в Нижнем Новгороде 2007 г. Открытие филиала в Санкт-Петербурге Открытие второго магазина в Нижнем Новгороде 2008 — 2011 гг. 2008 г. Открытие филиала в Екатеринбурге Открытие второго магазина в Нижнем Новгороде Открытие второго магазина в Санкт-Петербурге 2010 г. Открытие розничных магазинов в Ярославле и Иваново 2011 г. Открытие филиала в Нижнем Новгород 2012 — 2013 гг. 2012 г. Открытие оптовых филиалов в Новосибирске и Хабаровске Открытие розничных магазинов в Новосибирске, Казани, Пензе, Екатеринбурге, Иванове и Санкт-Петербурге Открытие пятого магазина в Нижнем Новгороде 2013 г. Открытие магазина в Набережные Челны 2014 — 2015 гг. 2014 г. Открытие магазина в Рязани Открытие магазина в Уфе Открытие магазина в Мурманске Открытие магазина в Петрозаводске Открытие магазина в Челябинске Открытие пятого магазина в Туле, Альметьевске и Йошкар-Оле 2015 г. Открытие магазина в Иркутске Из небольшой локальной оптовой фирмы наша компания выросла в одно из лидирующих российских предприятий в сфере оптовой торговли: Пневматика, Огнестрельное оружие, Боеприпасы, Метательное оружие, Рыбалка. Наша компания является официальным представителем известных мировых брендов. И ЭТО ЕЩЕ НЕ ВСЕ! Мы осуществляем полный цикл предпродажной подготовки и последующего гарантийного и постгарантийного обслуживания и сервиса продукции. У нас всегда можно заказать запчасти для товаров, которые представлены в нашем магазине.",20.0,
Очкарик,Россия,Оптика,Средний,2001.0,,70,Москва; Санкт-Петербург; Екатеринбург; Калининград; Новосибирск; Омск; Ростов-на-Дону; Самара; Уфа; Ярославль,"Салоны оптики «Очкарик» работают на оптическом рынке России с 2001 года и занимают одну из лидирующих позиций. «Очкарик» - крупная инновационная оптическая сеть, основанная на базе Московского объединения «Оптика», история которой насчитывает более 80 лет. Наше предприятие обладает собственной научно-производственной базой.  «Очкарик» - компания со 100-процентным российским капиталом, успех которой основан на грамотной маркетинговой политике, использовании передовых технологий, профессионализме и преданности сотрудников. Прочная позиция на рынке и политика лидера накладывают на нас особую ответственность в построении диалога с клиентами и партнерами, выступают гарантом открытого и эффективного сотрудничества.  Торговая политика «Очкарик» построена на концепции «Супермаркета очков», когда прямое партнерство с ведущими поставщиками и производителями оптики, большие объемы закупок и продаж обеспечивают доступность, богатый ассортимент и только лицензионное качество товаров.",,
Очки,Россия,Оптика,Средний,2013.0,,7,Москва,"Компания «СМ-Очки» осуществляет продажу, изготовление и ремонт различных типов очков. В наших салонах оптики в Москве мы поможем вам подобрать модные мужские, женские и детские солнцезащитные очки из свежих оригинальных коллекций, а также сориентируем в широком ассортименте оправ известных мировых брендов для изготовления индивидуальных солнцезащитных, оптических или профессиональных очков. В нашей мастерской, оснащенной высокоточным компьютерным оборудованием, мы изготовим очковые линзы любой сложности в точном соответствии с индивидуальным рецептом офтальмолога, выполним оптимизацию толщины линз, нанесем на них по вашему желанию сплошное или градиентное напыление, а также подгоним форму линз под любую из понравившихся вам оправ. Широкий выбор очковых линз с различными параметрами от известных производителей, внимательное отношение консультантов и высокая квалификация мастеров, специализирующихся на производстве медицинской оптики, позволяют нам выполнять заказы на изготовление очков любой сложности и конфигурации. В случае загрязнения или повреждения ваших очков в процессе эксплуатации мы выполним их ультразвуковую чистку и осуществим ремонт.",,
О’Хот Дог,Россия,"Кафе, ресторан",Средний,2019.0,20,20 и 3 франчайзинговых,Москва; Люберцы; Химки,"О’Хот Дог - это новый проект от создателей О!Эскимо. Команда соединила богатый опыт и компактный формат стоек с высококачественной продукцией от Сирибим и Юнифуд и получили абсолютно новый вкусный и понятный бизнес. Первая точка начала свою работу в 2019 году. Сейчас работает 23 точки, 20 собственных и 3 франчайзинговых.",,
Павловопосадская платочная мануфактура,Россия,Аксессуары,Средний; Выше среднего,1975.0,50,50,Москва; Барнаул; Белгород; Брянск; Великий Новгород; Владивосток; Владимир; Волгоград; Волжский; Воронеж; Екатеринбург; Жуковский; Иваново; Ижевск; Йошкар-Ола; Казань; Калининград; Кемерово; Клин; Коломна; Королев; Краснодар; Красноярск; Курск; Липецк; Люберцы; Магнитогорск; Махачкала; Мурманск; Мытищи; Набережные Челны; Нижний Новгород; Новокузнецк; Новосибирск; Ногинск; Омск; Оренбург; Орехово-Зуево; Павловский Посад; Пенза; Пермь; Подольск; Псков; Пушкино; Раменское; Реутов; Ростов-на-Дону; Рязань; Самара; Саратов; Серпухов; Сочи; Ставрополь; Тверь; Тольятти; Томск; Тюмень; Улан-Удэ; Ульяновск; Уфа; Хабаровск; Химки; Чебоксары; Челябинск; Ярославль,"Среди известных всему миру уникальных изделий, составляющих гордость и славу России, особое место занимают платки и шали из старинного города Павловский Посад. Ежегодно «Павловопосадская платочная мануфактура» выпускает около 800 видов шалей, платков, шарфов, кашне, палантинов, скатертей из натуральных волокон: шерсти, хлопка, шелка, льна. Признанием высокой художественной и культурной ценности наших изделий является тот факт, что предприятию придан статус народного художественного промысла России. Предприятие развивает свою розничную торговую сеть. Более 50 магазинов уже обслуживают покупателей по всей России, и их количество непрерывно увеличивается. Коллекция фирменной продукции, выпускаемой нашим предприятием, разнообразна и обширна. В ней, наряду с изделиями традиционного дизайна, присутствует много современных изделий, органично развивающих богатые традиции павловопосадского платка, чтобы каждый покупатель обязательно смог выбрать то, что ему по душе и к лицу!",,
Павловская курочка,Россия,Продукты питания,Средний,2006.0,140,140 и 40 франчайзинговых,Арзамас; Владимир; Дзержинск; Ковров; Кстово; Муром; Нижний Новгород; Саранск; Саров,"ООО «Управляющая компания» «Русское поле» — лидер нижегородского рынка по производству мяса птицы, владелец ТМ «Павловская Курочка».  В состав агрохолдинга входят птицефабрики по выращиванию и переработки птицы, птицеводческое предприятие по производству столового и перепелиного яйца, агрофирма по производству комбикормов и премиксов, предприятия по производству зерновых культур, собственная розничная сеть. Павловская курочка насчитывает более 160 магазинов на территории Нижегородской и Владимирской областей. В фирменных магазинах созданы все условия для совершения приятных покупок, продавцы помогут сориентироваться в большом ассортименте продукции, подберут вкусные деликатесы для праздничного стола или охлаждённые полуфабрикаты для семейного ужина, проконсультируют тех, кто ищет продукты для детей, и тех, кто следит за своей фигурой.",,
Пактор,Россия,Одежда,Средний,1993.0,,6,Санкт-Петербург,"«ПАКТОР» — крупнейший розничный оператор в Санкт-Петербурге по продаже одежды и обуви лучших европейских производителей. Компания работает в Петербурге с 1993 года и на сегодняшний день владеет сетью из 6 фирменных салонов, расположенных в исторически сложившихся торговых зонах города. Общая торговая площадь составляет более 2500 квадратных метров. Ассортимент — мужская и женская одежда и обувь известных европейских производителей, аксессуары и кожгалантерея. Самая широкая размерная сетка (женская одежда от 42 до 58 размера, мужская одежда от 46 до 64 размера, включая до 5 вариантов роста и до 4 вариантов полноты на размер). Покупателям предоставляется бесплатная услуга подгонки по фигуре купленной одежды. Основные стилевые направления — деловая одежда, одежда для свободного времени и активного отдыха. Все коллекции заказываются у производителей по технологиям западных торговых операторов. Качество представленных товаров отвечает запросам взыскательных европейцев, а уровень цен соответствует уровню европейских цен в аналогичном формате торговли.",,3000
Палитра,Россия,Ремонт и строительство,Ниже среднего,1999.0,,8,Артем; Владивосток,"Компания Палитра основана в 1999 году и уже более десяти лет занимается оптовой и розничной продажей строительных материалов, инструмента, межкомнатных дверей во Владивостоке и Приморском крае. Ассортимент, качество и цены устроят любого покупателя. Вы можете найти у нас все для ремонта и отделки помещений любой сложности. Мы предлагаем качественные строительные и отделочные материалы, поставляемые с заводов-производителей. Цены на стройматериалы в нашей компании держатся на низком уровне, поэтому множество клиентов стали постоянными партнерами нашей компании и работают с нами долгое время. Мы также работаем с отдаленными регионами, Камчаткой, Чукоткой, Магаданом, Сахалином. По желанию заказчиков мы комлектуем заказ любой сложности и организуем доставку стройматериалов в любую точку страны железнодорожным и автомобильным транспортом. Наша сеть магазинов в городе Владивостоке ведет розничную торговлю строительными и отделочными материалами, инструментом, межкомнатными дверями, вы всегда найдете у нас много нового. Мы ценим всех наших клиентов, и всегда готовы им помочь, независимо от величины заказа.",2.0,
ПАЛКИ-СКАЛКИ,Россия,"Кафе, ресторан",Средний,2017.0,3,3 и 19 франчайзинговых,Москва; Балашиха; Владивосток; Хабаровск,"ПАЛКИ-СКАЛКИ — это федеральная сеть доставки еды, которая активно развивается в России. Первая точка открылась в 2017 году в городе Владивостоке. На сегодняшний день открыто 11 торговых точек в разных концах страны от Москвы до Дальнего Востока и еще 2 находятся на стадии запуска. Собственные торговые точки находятся в таких городах, как Владивосток, Хабаровск, Балашиха. В 2019 году компания запустила продажу франшизы. За 11 месяцев франчайзи-партнёры ПАЛКИ-СКАЛКИ открылись в разных форматах: полноценные кафе с уютным дизайном и посадочными местами, служба доставки, служба доставки еды с форматом take away.",,
Пальмира,Россия,Парфюмерия и Косметика,Средний; Выше среднего; Люкс / Премиум,2002.0,,8,Курган,"Пальмира -  сеть магазинов парфюмерии и косметики, которая предлагает клиентам продукцию известных мировых брендов с высоким уровнем сервиса. «Пальмира» - это команда, которая с 2002 года работает на рынке косметических товаров и парфюмерии. Удобные магазины, стильный интерьер, великолепный ассортимент, высокое качество сервиса – всё это компания предоставляет покупателям каждый день. В настоящее время сеть «Пальмира» насчитывает 8 магазинов: 2 из них формата «де люкс» (супермаркеты с огромным количеством товаров «премиального» класса), 6 формата «дрогери» (удобные магазины косметики и парфюмерии шаговой доступности). Основная задача компании стать ближе к покупателям и обеспечить свое присутствие в наиболее оживленных районах города. В магазинах сети представлено более 40 000 наименований продукции от ведущих мировых марок парфюмерии, декоративной косметики, средств по уходу и бытовой химии: Lancome, Guam, Hugo Boss, Lacoste, Dolce & Gabbana, Gucci, Lanvin, Trussardi, Max Factor, Make Up Factory, L’Oreal, Garnier, Divage и многие другие. Этот список постоянно растет и изменяется в соответствии с тенденциями рынка. «Пальмира» предлагает не просто большой выбор, это всегда самые актуальные новинки и хиты. На сегодняшний день в компании трудится более 90 человек. Неизменным в нашей работе остаётся качество обслуживания и пристальное внимание к потребностям покупателей.  Компания «Пальмира» постоянно развивается. Основная задача компании стать ближе к покупателям и обеспечить свое присутствие в наиболее оживленных районах города. Приглашаем к сотрудничеству, как по продаже, так и закупу продукции. Мы готовы развиваться, и рассмотрим предложения по аренде и покупке коммерческой недвижимости в г.Кургане и в других городах России.",,
Пальчики,Россия,Красота,Средний,2007.0,,18 и 2 франчайзинговых,Москва; Брянск; Екатеринбург; Железнодорожный; Казань; Калуга; Люберцы; Реутов; Самара,"«Пальчики» – это формат салонов красоты, впервые появившийся в Нью-Йорке, а сегодня широко распространенный по всему миру. Основой этого формата являются услуги по маникюру и педикюру и клубная составляющая. «Пальчики» - это салон красоты, куда гости приходят вместе с друзьями, чтобы иметь возможность общаться, в то время как мастера маникюра и педикюра оказывают им профессиональные услуги. Со дня открытия первого салона в 2007 г. сеть салонов «Пальчики» оказывает услуги с высоким качеством обслуживания по демократичным ценам, кроме того в «Пальчиках» уход за ногтями не «вычитается» из личного времени гостя, а «прибавляется» к нему. Ведь у нас есть специальные столики на двоих, так что Вы сможете общаться с другом или подругой, пока вам будут делать маникюр! Миссия бренда «Пальчики» - формирование культуры профессионального и регулярного ухода за ногтями. «В салонах «Пальчики» мастера оказывают полный спектр услуг по уходу за руками и ногами: маникюр классический, детский маникюр, горячий маникюр, педикюр классический, аппаратный педикюр. Перечень услуг сети салонов маникюра и педикюра «Пальчики» не ограничивается маникюром и педикюром, а включает также большой выбор SPA уходов, парафинотерапию для рук и ног, увлажняющие и питательные маски, пилинг для рук и пилинг для ног. В салонах есть предложения по коррекции бровей, окрашиванию бровей и ресниц. Сеть салонов маникюра и педикюра «Пальчики» обладает большим штатом мастеров. Наши мастера прошли обучение в лучших школах маникюрного искусства: OPI, Victory, «Оле Хаус», GranVie, «Дом маникюра Елены Шанской», «Пластек», проходят аттестацию у ведущих специалистов сети салонов маникюра и педикюра «Пальчики». Кроме того, на базе Учебного центра ""Пальчики"" постоянно проводится дополнительное обучение оказанию новых услуг и использованию инновационных и оригинальных продуктов для SPA уходов и моделирования ногтей. Выбор поставщиков косметики для сети салонов «Пальчики» всегда осуществляется в пользу ведущих профессиональных косметических линий. Среди наших поставщиков косметики такие ведущие мировые лидеры ногтевой индустрии как Creative Nail Design (США), OPI (США), International Nail Manufacturers (INM) (США), Gewohl (Германия), Masura (Япония), Nail Tek (Россия), Seche (США), Beauty Image (Испания),Orly (США), Duri (США), Essie (США).",,
